Entity,Code,Year,"Total employment in tourism industries per 1,000 people"
Albania,ALB,2004,4.8407974
Albania,ALB,2005,5.0712657
Albania,ALB,2006,5.473967
Albania,ALB,2007,6.0868964
Albania,ALB,2008,5.847107
Albania,ALB,2009,6.3143954
Albania,ALB,2010,7.5117884
Albania,ALB,2011,7.7966685
Albania,ALB,2012,7.3539443
Albania,ALB,2013,8.701425
Albania,ALB,2014,9.195013
Albania,ALB,2015,10.004712
Albania,ALB,2016,13.527186
Albania,ALB,2017,15.043576
Albania,ALB,2018,16.135548
Albania,ALB,2019,18.024189
Albania,ALB,2020,14.763483
Albania,ALB,2021,15.278353
Algeria,DZA,2015,5.7471943
Algeria,DZA,2016,6.609431
Algeria,DZA,2017,7.19609
Algeria,DZA,2018,7.2462006
Algeria,DZA,2019,7.3912306
Angola,AGO,2007,3.4722795
Angola,AGO,2008,4.7605376
Angola,AGO,2009,6.0067973
Angola,AGO,2010,5.9612823
Angola,AGO,2011,6.010482
Angola,AGO,2012,6.2736425
Angola,AGO,2013,6.6299987
Angola,AGO,2014,7.4654007
Angola,AGO,2015,7.7882504
Angola,AGO,2016,7.572883
Angola,AGO,2017,7.375598
Angola,AGO,2018,11.339687
Angola,AGO,2019,6.656241
Angola,AGO,2020,5.4108768
Angola,AGO,2021,5.299367
Angola,AGO,2022,5.387957
Argentina,ARG,2010,24.088919
Argentina,ARG,2011,23.72117
Argentina,ARG,2012,23.777494
Argentina,ARG,2013,24.932804
Argentina,ARG,2014,23.565878
Argentina,ARG,2016,28.387144
Argentina,ARG,2017,28.76293
Argentina,ARG,2018,28.466265
Argentina,ARG,2019,28.00809
Australia,AUS,2005,25.711412
Australia,AUS,2006,25.113443
Australia,AUS,2007,25.163992
Australia,AUS,2008,24.739601
Australia,AUS,2009,24.381382
Australia,AUS,2010,24.673033
Australia,AUS,2011,24.604336
Australia,AUS,2012,24.719234
Australia,AUS,2013,25.2278
Australia,AUS,2014,24.99195
Australia,AUS,2015,25.542845
Australia,AUS,2016,26.16116
Australia,AUS,2017,26.266582
Australia,AUS,2018,27.452557
Australia,AUS,2019,27.512768
Australia,AUS,2020,23.454203
Australia,AUS,2021,15.895877
Australia,AUS,2022,19.136684
Austria,AUT,2003,25.410566
Austria,AUT,2004,25.252357
Austria,AUT,2005,25.23938
Austria,AUT,2007,25.86493
Austria,AUT,2008,29.459646
Austria,AUT,2009,29.154932
Austria,AUT,2010,30.2328
Austria,AUT,2011,30.262335
Austria,AUT,2012,31.073587
Austria,AUT,2013,31.893278
Austria,AUT,2018,22.574966
Austria,AUT,2019,23.184652
Austria,AUT,2020,14.414776
Austria,AUT,2021,12.021787
Azerbaijan,AZE,2005,0.5511066
Azerbaijan,AZE,2006,0.58739257
Azerbaijan,AZE,2007,0.6630936
Azerbaijan,AZE,2008,0.75928384
Azerbaijan,AZE,2009,0.8102728
Azerbaijan,AZE,2010,4.027506
Azerbaijan,AZE,2011,4.0663757
Azerbaijan,AZE,2012,4.1435847
Azerbaijan,AZE,2013,4.291478
Azerbaijan,AZE,2014,4.3400903
Azerbaijan,AZE,2015,5.0702057
Azerbaijan,AZE,2016,4.4056635
Azerbaijan,AZE,2017,4.698495
Azerbaijan,AZE,2018,5.3361735
Azerbaijan,AZE,2019,5.8849792
Azerbaijan,AZE,2020,4.809003
Azerbaijan,AZE,2021,5.247024
Azerbaijan,AZE,2022,6.1260924
Bahrain,BHR,2012,14.798883
Bahrain,BHR,2013,15.112877
Bahrain,BHR,2014,15.995637
Bahrain,BHR,2015,16.792538
Bahrain,BHR,2016,13.98984
Bahrain,BHR,2017,43.18477
Bahrain,BHR,2018,48.743553
Bahrain,BHR,2019,51.155197
Bahrain,BHR,2020,45.8505
Bahrain,BHR,2021,47.277798
Bahrain,BHR,2022,67.16841
Belarus,BLR,1998,2.6883373
Belarus,BLR,1999,2.8289042
Belarus,BLR,2000,3.2928612
Belarus,BLR,2001,3.3910012
Belarus,BLR,2002,3.3422964
Belarus,BLR,2003,3.3152528
Belarus,BLR,2004,3.3487105
Belarus,BLR,2005,3.2065103
Belarus,BLR,2006,3.4138072
Belarus,BLR,2007,3.5657759
Belarus,BLR,2008,2.885819
Belarus,BLR,2009,2.9766493
Belarus,BLR,2010,24.002314
Belarus,BLR,2011,24.090187
Belarus,BLR,2012,23.882301
Belarus,BLR,2013,23.815426
Belarus,BLR,2014,23.931921
Belarus,BLR,2015,23.420813
Belarus,BLR,2016,25.560406
Belarus,BLR,2017,25.484972
Belarus,BLR,2018,26.961931
Belarus,BLR,2019,27.322594
Belarus,BLR,2020,20.896288
Belarus,BLR,2021,20.7645
Belarus,BLR,2022,20.690615
Belgium,BEL,2009,12.757867
Belgium,BEL,2010,12.71124
Belize,BLZ,2006,48.28233
Belize,BLZ,2007,53.019585
Belize,BLZ,2010,41.217026
Belize,BLZ,2011,40.32911
Belize,BLZ,2012,46.348904
Belize,BLZ,2013,55.322525
Belize,BLZ,2014,55.024574
Belize,BLZ,2015,55.04855
Belize,BLZ,2016,57.22245
Belize,BLZ,2017,59.188244
Belize,BLZ,2018,60.549873
Belize,BLZ,2019,61.02381
Belize,BLZ,2020,43.948734
Belize,BLZ,2021,39.711044
Bosnia and Herzegovina,BIH,2011,7.376129
Bosnia and Herzegovina,BIH,2012,7.247743
Bosnia and Herzegovina,BIH,2013,6.0373464
Bosnia and Herzegovina,BIH,2014,6.788541
Bosnia and Herzegovina,BIH,2015,6.991534
Bosnia and Herzegovina,BIH,2016,10.336893
Bosnia and Herzegovina,BIH,2017,11.491289
Bosnia and Herzegovina,BIH,2018,12.22321
Bosnia and Herzegovina,BIH,2019,12.882846
Bosnia and Herzegovina,BIH,2020,12.002357
Bosnia and Herzegovina,BIH,2021,11.982154
Bosnia and Herzegovina,BIH,2022,12.683455
Brazil,BRA,2005,9.158684
Brazil,BRA,2006,9.30014
Brazil,BRA,2007,9.551726
Brazil,BRA,2008,9.8394
Brazil,BRA,2009,9.936487
Brazil,BRA,2010,10.301394
Brazil,BRA,2011,10.510807
Brazil,BRA,2012,10.461909
Brazil,BRA,2013,9.7688265
Brazil,BRA,2014,10.221149
Brazil,BRA,2015,10.288307
Brazil,BRA,2016,10.478889
Brazil,BRA,2017,10.395726
Brazil,BRA,2018,10.59129
Brazil,BRA,2019,10.567087
Brunei,BRN,2013,6.079678
Brunei,BRN,2014,6.478642
Brunei,BRN,2015,6.631551
Brunei,BRN,2016,6.7824674
Brunei,BRN,2017,7.0843
Brunei,BRN,2018,6.9367514
Brunei,BRN,2019,7.2715034
Brunei,BRN,2020,6.7767515
Brunei,BRN,2021,6.8847504
Cameroon,CMR,2008,1.1844479
Cameroon,CMR,2009,1.2033077
Cameroon,CMR,2010,1.3778682
Cameroon,CMR,2011,1.334499
Cameroon,CMR,2012,1.3647592
Cayman Islands,CYM,2007,140.81956
Cayman Islands,CYM,2008,175.86713
Cayman Islands,CYM,2009,151.98146
Cayman Islands,CYM,2010,147.82239
Cayman Islands,CYM,2011,143.8073
Cayman Islands,CYM,2012,192.46584
Chile,CHL,2005,12.588095
Chile,CHL,2006,13.265332
Chile,CHL,2007,13.609994
Chile,CHL,2008,14.781175
Chile,CHL,2009,16.020245
Chile,CHL,2010,15.540005
Chile,CHL,2011,16.528534
Chile,CHL,2012,21.827587
Chile,CHL,2013,22.078356
Chile,CHL,2014,22.133663
Chile,CHL,2015,22.623472
Chile,CHL,2016,23.731026
Chile,CHL,2017,24.274115
Chile,CHL,2018,33.6841
Chile,CHL,2019,33.639362
Chile,CHL,2020,23.56662
Chile,CHL,2021,25.904175
Chile,CHL,2022,30.056719
Comoros,COM,2019,2.5426433
Comoros,COM,2020,1.2466154
Comoros,COM,2021,2.0777874
Congo,COG,2013,4.5590935
Congo,COG,2014,5.084521
Congo,COG,2015,5.2377763
Congo,COG,2016,5.0933022
Congo,COG,2017,1.9809337
Congo,COG,2018,1.3678322
Costa Rica,CRI,2013,31.911602
Costa Rica,CRI,2014,31.024982
Costa Rica,CRI,2015,32.502815
Costa Rica,CRI,2016,31.31291
Costa Rica,CRI,2017,31.608875
Costa Rica,CRI,2018,32.47399
Costa Rica,CRI,2019,34.18307
Costa Rica,CRI,2020,25.326147
Costa Rica,CRI,2021,29.739967
Costa Rica,CRI,2022,33.295517
Cote d'Ivoire,CIV,2016,4.347618
Cote d'Ivoire,CIV,2017,4.5299177
Cote d'Ivoire,CIV,2018,4.4093804
Cote d'Ivoire,CIV,2019,4.5685077
Cote d'Ivoire,CIV,2020,4.589242
Cote d'Ivoire,CIV,2021,4.6356688
Cote d'Ivoire,CIV,2022,4.8758016
Croatia,HRV,2006,11.469479
Croatia,HRV,2007,12.233671
Croatia,HRV,2008,12.8632
Croatia,HRV,2009,11.993865
Croatia,HRV,2010,11.950287
Croatia,HRV,2011,12.310705
Croatia,HRV,2012,12.889642
Croatia,HRV,2013,13.176492
Croatia,HRV,2014,14.812234
Croatia,HRV,2015,14.65199
Croatia,HRV,2016,17.744736
Croatia,HRV,2017,19.489124
Croatia,HRV,2018,21.516233
Croatia,HRV,2019,22.978483
Croatia,HRV,2020,19.853529
Croatia,HRV,2021,20.435167
Croatia,HRV,2022,23.393723
Cyprus,CYP,2003,45.218
Cyprus,CYP,2004,45.66367
Cyprus,CYP,2005,46.662857
Cyprus,CYP,2006,46.518246
Cyprus,CYP,2007,46.880566
Cyprus,CYP,2008,36.08065
Cyprus,CYP,2009,34.346306
Cyprus,CYP,2010,34.969963
Cyprus,CYP,2011,33.826664
Cyprus,CYP,2012,32.349354
Cyprus,CYP,2013,29.647799
Cyprus,CYP,2014,31.535845
Cyprus,CYP,2015,32.308216
Cyprus,CYP,2016,34.677425
Cyprus,CYP,2017,36.834087
Czechia,CZE,2003,22.783697
Czechia,CZE,2004,22.693762
Czechia,CZE,2005,22.733503
Czechia,CZE,2006,22.463184
Czechia,CZE,2007,22.831768
Czechia,CZE,2008,23.244232
Czechia,CZE,2009,22.98237
Czechia,CZE,2010,22.51223
Czechia,CZE,2011,22.161861
Czechia,CZE,2012,21.851397
Czechia,CZE,2013,21.759907
Czechia,CZE,2014,21.393774
Czechia,CZE,2015,21.773458
Czechia,CZE,2016,22.15165
Czechia,CZE,2017,22.65366
Czechia,CZE,2018,22.806757
Czechia,CZE,2019,22.70042
Czechia,CZE,2020,22.632896
Czechia,CZE,2021,20.435522
Denmark,DNK,2006,29.949493
Denmark,DNK,2007,30.85101
Denmark,DNK,2008,27.831545
Denmark,DNK,2009,26.379787
Denmark,DNK,2010,26.622849
Denmark,DNK,2011,27.105398
Denmark,DNK,2012,28.34451
Denmark,DNK,2013,28.297516
Denmark,DNK,2014,30.463732
Denmark,DNK,2015,31.663893
Denmark,DNK,2016,32.81992
Denmark,DNK,2017,33.50258
Denmark,DNK,2018,34.064198
Denmark,DNK,2019,34.60244
Denmark,DNK,2020,28.740313
Denmark,DNK,2021,34.28509
Denmark,DNK,2022,35.152225
Djibouti,DJI,2021,1.4724624
Djibouti,DJI,2022,1.6638818
Dominican Republic,DOM,2005,18.655754
Dominican Republic,DOM,2006,20.158037
Dominican Republic,DOM,2007,20.125507
