Entity,Code,Year,Ratio of inbound to outbound tourist trips
Angola,AGO,1995,3
Angola,AGO,1996,7
Argentina,ARG,1995,0.6
Argentina,ARG,1996,0.608473
Argentina,ARG,1997,0.6119106
Argentina,ARG,1998,0.65592337
Argentina,ARG,1999,0.6055161
Argentina,ARG,2000,0.5873208
Argentina,ARG,2001,0.550189
Argentina,ARG,2002,0.9375
Argentina,ARG,2003,0.96988344
Argentina,ARG,2004,0.88550204
Argentina,ARG,2005,0.9817668
Argentina,ARG,2006,1.0721993
Argentina,ARG,2007,1.0947924
Argentina,ARG,2008,1.018639
Argentina,ARG,2009,0.8648866
Argentina,ARG,2010,1.2813265
Argentina,ARG,2011,1.0025426
Argentina,ARG,2012,0.8941646
Argentina,ARG,2013,0.9650163
Argentina,ARG,2014,1.0994322
Argentina,ARG,2015,0.8730626
Argentina,ARG,2016,0.6401075
Argentina,ARG,2017,0.5494964
Argentina,ARG,2018,0.6237197
Argentina,ARG,2019,0.81182796
Argentina,ARG,2020,0.73565644
Argentina,ARG,2021,0.35654262
Argentina,ARG,2022,0.75651497
Armenia,ARM,2000,0.4054054
Armenia,ARM,2001,1.1181818
Armenia,ARM,2002,1.2366412
Armenia,ARM,2003,1.2189349
Armenia,ARM,2004,1.1900452
Armenia,ARM,2005,1.1858736
Armenia,ARM,2006,1.1610942
Armenia,ARM,2007,1.0918803
Armenia,ARM,2008,1.0813954
Armenia,ARM,2009,1.0931559
Armenia,ARM,2010,1.21492
Armenia,ARM,2011,1.0601399
Armenia,ARM,2012,0.9979275
Armenia,ARM,2013,1.0009234
Armenia,ARM,2014,1.0050083
Armenia,ARM,2015,1.0042123
Armenia,ARM,2016,0.9976247
Armenia,ARM,2017,1.0087719
Armenia,ARM,2018,1.0178682
Armenia,ARM,2019,1.0139186
Armenia,ARM,2020,1.083815
Armenia,ARM,2021,2.0567377
Armenia,ARM,2022,1.4626865
Austria,AUT,2000,2.3886824
Austria,AUT,2001,2.1772456
Austria,AUT,2002,2.2515123
Austria,AUT,2003,2.2755249
Austria,AUT,2004,2.3144188
