Entity,Code,Year,GDP from tourism as a share of total GDP
Albania,ALB,2008,2.7570734
Albania,ALB,2009,2.6686888
Albania,ALB,2010,2.812342
Albania,ALB,2011,2.534773
Albania,ALB,2012,2.3569665
Albania,ALB,2013,2.3213682
Albania,ALB,2014,2.326408
Albania,ALB,2015,2.4437852
Albania,ALB,2016,2.6369655
Albania,ALB,2017,2.8357878
Albania,ALB,2018,3.217578
Albania,ALB,2019,3.8442533
Albania,ALB,2020,2.9226747
Albania,ALB,2021,3.2617908
Albania,ALB,2022,3.9531105
Algeria,DZA,2008,0.8
Algeria,DZA,2009,1.1
Algeria,DZA,2010,1
Algeria,DZA,2011,0.9
Algeria,DZA,2012,0.9
Algeria,DZA,2013,1
Algeria,DZA,2014,1.1
Algeria,DZA,2015,1.3
Algeria,DZA,2016,1.4
Algeria,DZA,2017,1.6
Algeria,DZA,2018,1.7
Algeria,DZA,2019,1.8
Algeria,DZA,2020,1
Algeria,DZA,2021,1.2
Algeria,DZA,2022,1.2
Antigua and Barbuda,ATG,2011,10.536905
Antigua and Barbuda,ATG,2012,10.220417
Antigua and Barbuda,ATG,2013,10.678166
Antigua and Barbuda,ATG,2014,10.93971
Antigua and Barbuda,ATG,2015,11.281822
Antigua and Barbuda,ATG,2016,11.381596
Antigua and Barbuda,ATG,2017,10.837452
Antigua and Barbuda,ATG,2018,10.695942
Antigua and Barbuda,ATG,2019,10.636665
Antigua and Barbuda,ATG,2020,7.524035
Antigua and Barbuda,ATG,2021,9.731131
Antigua and Barbuda,ATG,2022,11.70779
Argentina,ARG,2016,1.9176736
Argentina,ARG,2017,1.9862579
Argentina,ARG,2018,1.8397866
Argentina,ARG,2019,1.7732732
Argentina,ARG,2020,0.883223
Argentina,ARG,2021,0.8401535
Argentina,ARG,2022,1.6839474
Aruba,ABW,2013,19.9
Aruba,ABW,2014,21.1
Aruba,ABW,2015,21.6
Aruba,ABW,2016,21.2
Aruba,ABW,2017,21.2
Australia,AUS,2008,2.9
Australia,AUS,2009,2.8
Australia,AUS,2010,2.7
Australia,AUS,2011,2.7
Australia,AUS,2012,2.8
Australia,AUS,2013,2.9
Australia,AUS,2014,3
Australia,AUS,2015,3.1
Australia,AUS,2016,3.1
Australia,AUS,2017,3.1
Australia,AUS,2018,3.1
Australia,AUS,2019,2.4
Australia,AUS,2020,1.4
Australia,AUS,2021,1.5
Australia,AUS,2022,2.5
Austria,AUT,2018,5.198377
Austria,AUT,2019,5.3312244
Austria,AUT,2020,3.3603523
Austria,AUT,2021,2.6603975
Azerbaijan,AZE,2016,3.7
Azerbaijan,AZE,2022,2.2305279
Bahamas,BHS,2012,15.2
Bahrain,BHR,2017,7.3250937
Bahrain,BHR,2018,6.129361
Bahrain,BHR,2019,6.554989
Bahrain,BHR,2020,1.3963054
Bahrain,BHR,2021,3.2
Bahrain,BHR,2022,6
Bangladesh,BGD,2019,3.02
Belarus,BLR,2014,1.7846153
Belarus,BLR,2016,2.2304068
Belarus,BLR,2018,2.4975553
Belarus,BLR,2020,1.4203699
Belgium,BEL,2016,2.1816862
Belgium,BEL,2019,1.8550044
Bermuda,BMU,2008,4.9
Bermuda,BMU,2009,4.3
Bermuda,BMU,2010,5.2
Bermuda,BMU,2011,5.7
Bermuda,BMU,2012,5.2
Bermuda,BMU,2013,5
Bermuda,BMU,2014,4.6
Bermuda,BMU,2015,4.2
Bermuda,BMU,2016,4.7
Bermuda,BMU,2017,4.8
Bermuda,BMU,2018,5.3
Bermuda,BMU,2019,5.1
Bermuda,BMU,2020,1.8
Bermuda,BMU,2021,2.2
Bhutan,BTN,2019,9.521375
Botswana,BWA,2009,3.7
Botswana,BWA,2016,4.9
Botswana,BWA,2019,5.1
Brunei,BRN,2010,0.81
Brunei,BRN,2011,0.65
Brunei,BRN,2012,0.62
Brunei,BRN,2013,0.66
Brunei,BRN,2014,0.65
Brunei,BRN,2015,0.78
Brunei,BRN,2016,0.83
Cameroon,CMR,2012,3.3
Cameroon,CMR,2013,3.4
Cameroon,CMR,2014,3.2
Cameroon,CMR,2015,3.7
Cameroon,CMR,2016,4
Cameroon,CMR,2017,4.1
Cameroon,CMR,2018,5.06
Cameroon,CMR,2019,5.09
Cameroon,CMR,2020,4.65
Cameroon,CMR,2021,4.82
Canada,CAN,2008,1.9106842
Canada,CAN,2009,1.918498
Canada,CAN,2010,1.9197601
Canada,CAN,2011,1.9068742
Canada,CAN,2012,1.9225541
Canada,CAN,2013,1.8881774
Canada,CAN,2014,1.8857429
Canada,CAN,2015,2.0228736
Canada,CAN,2016,2.0822828
Canada,CAN,2017,2.078699
Canada,CAN,2018,2.0902102
