Entity,Code,Year,Tourists
Algeria,DZA,1995,1090000
Algeria,DZA,1996,874000
Algeria,DZA,1997,827000
Algeria,DZA,1998,879000
Algeria,DZA,1999,903000
Algeria,DZA,2000,1006000
Algeria,DZA,2001,1190000
Algeria,DZA,2002,1257000
Algeria,DZA,2003,1254000
Algeria,DZA,2004,1417000
Algeria,DZA,2005,1513000
Algeria,DZA,2006,1349000
Algeria,DZA,2007,1499000
Algeria,DZA,2008,1539000
Algeria,DZA,2009,1677000
Algeria,DZA,2010,1757000
Algeria,DZA,2011,1715000
Algeria,DZA,2012,1911000
Algeria,DZA,2013,2136000
Algeria,DZA,2014,2839000
Algeria,DZA,2015,3638000
Algeria,DZA,2016,4530000
Algeria,DZA,2017,5058000
Algeria,DZA,2018,5610000
Algeria,DZA,2019,5732000
Algeria,DZA,2020,1386000
Algeria,DZA,2021,344000
Algeria,DZA,2022,2865000
Angola,AGO,1995,3000
Angola,AGO,1996,3000
Argentina,ARG,1995,3815000
Argentina,ARG,1996,4296000
Argentina,ARG,1997,4517000
Argentina,ARG,1998,4592000
Argentina,ARG,1999,4786000
Argentina,ARG,2000,4953000
Argentina,ARG,2001,4762000
Argentina,ARG,2002,3008000
Argentina,ARG,2003,3088000
Argentina,ARG,2004,3904000
Argentina,ARG,2005,3894000
Argentina,ARG,2006,3892000
Argentina,ARG,2007,4167000
Argentina,ARG,2008,4614000
Argentina,ARG,2009,4981000
Argentina,ARG,2010,5307000
Argentina,ARG,2011,6686000
Argentina,ARG,2012,7266000
Argentina,ARG,2013,6746000
Argentina,ARG,2014,6517000
Argentina,ARG,2015,7807000
Argentina,ARG,2016,10417000
Argentina,ARG,2017,12213000
Argentina,ARG,2018,11130000
Argentina,ARG,2019,9114000
Argentina,ARG,2020,2841000
Argentina,ARG,2021,833000
Argentina,ARG,2022,5142000
Armenia,ARM,2000,111000
Armenia,ARM,2001,110000
Armenia,ARM,2002,131000
Armenia,ARM,2003,169000
Armenia,ARM,2004,221000
Armenia,ARM,2005,269000
Armenia,ARM,2006,329000
Armenia,ARM,2007,468000
Armenia,ARM,2008,516000
